mikado.CAAJIE010000906.1G1	STAT1_MOUSE
mikado.10G968	Y381_EVAC2
mikado.10G1016	ZCH24_HUMAN
mikado.10G1038	ARI4B_HUMAN
mikado.11G205	KRUP_DROME
mikado.11G231	KRUP_DROME
mikado.11G396	NPNT_MOUSE
mikado.11G447	CNTLN_HUMAN
mikado.12G58	PGBD4_HUMAN
mikado.12G100	RTBS_DROME
mikado.12G445	GSE1_DANRE
mikado.12G755	HFE_DICBI
mikado.12G866	IRE1_SCHPO
mikado.12G1032	RTBS_DROME
mikado.12G1108	TITIN_HUMAN
mikado.12G1102	TITIN_HUMAN
mikado.12G1182	PAT_XENLA
mikado.12G1360	M2GD_MOUSE
mikado.12G1914	HARB1_DANRE
mikado.12G2062	PGFRB_TAKRU
mikado.12G2063	PGFRB_TAKRU
mikado.12G2085	BICL1_MOUSE
mikado.12G2158	SSH2_HUMAN
mikado.12G2163	ZN717_HUMAN
mikado.12G2273	RTBS_DROME
mikado.12G2290	NECT2_MOUSE
mikado.12G2293	TC1A_CAEEL
mikado.13G219	YTX1_XENLA
mikado.13G316	FRPC_NEIMB
mikado.13G325	TBB4B_MOUSE
mikado.13G766	RGCC_MOUSE
mikado.13G888	VGFR3_DANRE
mikado.13G907	ABCB7_ORYLA
mikado.13G1044	JAG1B_DANRE
mikado.13G1068	GXN_ACRMI
mikado.13G1187	NLRC3_HUMAN
mikado.13G1215	PO11_BRACO
mikado.13G1238	RIN3_HUMAN
mikado.13G1500	TYW1_DANRE
mikado.13G1930	PARPT_MOUSE
mikado.13G2016	UFO_HUMAN
mikado.13G2041	RYR1_MOUSE
mikado.14G71	ATL7_ARATH
mikado.14G73	YTX1_XENLA
mikado.14G195	B2L15_MOUSE
mikado.14G220	ZSC20_HUMAN
mikado.14G239	MYPT2_HUMAN
mikado.14G259	B2L14_HUMAN
mikado.14G281	POL3_DROME
mikado.14G373	TNR1B_HUMAN
mikado.14G430	RTBS_DROME
mikado.14G518	HARB1_DANRE
mikado.14G531	MX2_ONCMY
mikado.14G782	LADD_ONCMY
mikado.14G873	GP182_HUMAN
mikado.14G922	DPP10_HUMAN
mikado.14G1237	FHAB_BORPE
mikado.14G1326	HARB1_DANRE
mikado.14G1445	RTBS_DROME
mikado.14G1536	SI1L2_RAT
mikado.14G1716	NIPLB_DANRE
mikado.14G1718	NIPLB_DANRE
mikado.14G1729	K1C13_ONCMY
mikado.14G1757	HARB1_XENLA
mikado.14G1823	HARB1_DANRE
mikado.14G2045	GIMA4_RAT
mikado.14G2185	PRAX_RAT
mikado.14G2210	FCRL5_HUMAN
mikado.14G2315	GP2_MOUSE
mikado.14G2398	MYSS_CYPCA
mikado.14G2383	BRD4_DANRE
mikado.14G2462	GIMA4_HUMAN
mikado.15G144	CD22_PANTR
mikado.15G597	RTBS_DROME
mikado.15G696	MKS1_MOUSE
mikado.15G865	IQIP1_MOUSE
mikado.15G887	HARB1_DANRE
mikado.15G1241	RICTR_HUMAN
mikado.15G1315	TTC28_HUMAN
mikado.15G1402	RTBS_DROME
mikado.15G1494	TRI25_MOUSE
mikado.15G1589	SON_MOUSE
mikado.16G169	GPDA_TAKRU
mikado.16G189	ANR60_HUMAN
mikado.16G367	IFI44_HUMAN
mikado.16G557	S6A13_RAT
mikado.16G517	RTBS_DROME
mikado.16G567	ENV_BAEVM
mikado.16G629	TIM_RAT
mikado.16G856	S6A17_HUMAN
mikado.16G1111	TCB2_CAEBR
mikado.16G1128	MYH8_MOUSE
mikado.16G1202	TNR1B_HUMAN
mikado.16G1300	K0754_HUMAN
mikado.16G1306	B2L14_HUMAN
mikado.16G1384	PGBD4_HUMAN
mikado.16G1473	CT085_HUMAN
mikado.17G156	ENV_BAEVM
mikado.17G297	PINLY_MOUSE
mikado.17G380	FRRS1_DANRE
mikado.17G653	NLRC5_ICTPU
mikado.17G710	RTJK_DROFU
mikado.17G769	TRI16_MOUSE
mikado.17G773	CAD13_HUMAN
mikado.17G786	PGBD4_HUMAN
mikado.17G814	B4GN3_HUMAN
mikado.17G914	RTJK_DROFU
mikado.17G1031	CNGB1_BOVIN
mikado.17G1059	K154L_HUMAN
mikado.18G99	FA5_BOVIN
mikado.18G109	COJA1_HUMAN
mikado.18G446	TC1A_CAEEL
mikado.18G502	RTBS_DROME
mikado.18G544	UBP54_HUMAN
mikado.18G556	COLL4_MIMIV
mikado.18G575	TTC27_HUMAN
mikado.18G580	ZN318_MOUSE
mikado.18G677	SPRC_COTJA
mikado.18G843	TCIM_BOVIN
mikado.18G1030	STXB_SYNHO
mikado.18G1045	MOT3_CHICK
mikado.19G71	TRI26_PIG
mikado.19G581	UPK3A_HUMAN
mikado.19G905	HMGN1_BOVIN
mikado.19G996	CK2N1_HUMAN
mikado.19G1090	WDR74_BOVIN
mikado.19G1091	WDR74_HUMAN
mikado.19G1106	UIF_CHICK
mikado.19G1193	MA7D2_MOUSE
mikado.19G1194	RH2A_PLAF7
mikado.19G1274	AGRG4_HUMAN
mikado.19G1247	NHSL2_MOUSE
mikado.19G1319	BICL1_MOUSE
mikado.19G1421	CFA54_HUMAN
mikado.19G1428	CFA54_HUMAN
mikado.19G1430	CFA54_HUMAN
mikado.19G1433	CFA54_HUMAN
mikado.19G1462	ZMYM1_HUMAN
mikado.19G1478	CFA54_HUMAN
mikado.20G50	CTLA4_PIG
mikado.20G108	TAAR6_PANTR
mikado.20G484	MPP8_HUMAN
mikado.20G635	CRLA_DICDI
mikado.20G678	TASL_MOUSE
mikado.20G701	POL4_DROME
mikado.20G777	RAMP1_PIG
mikado.21G45	RTL1_HUMAN
mikado.21G193	PGBD4_HUMAN
mikado.21G371	TPR_XENLA
mikado.21G581	TV382_HUMAN
mikado.21G587	TVA91_HUMAN
mikado.21G650	DPOM_ASCIM
mikado.21G762	COFA1_MOUSE
mikado.21G1092	SH21A_PIG
mikado.21G1209	YETS2_MOUSE
mikado.21G1256	GIN1_HUMAN
mikado.21G1329	PTPRF_DANRE
mikado.21G1443	CO6A1_CHICK
mikado.22G130	FBN2_MOUSE
mikado.22G195	IGLL1_MOUSE
mikado.22G196	TM20B_DANRE
mikado.22G607	CC190_HUMAN
mikado.22G638	RRBP1_CANLF
mikado.22G692	SE1L3_HUMAN
mikado.22G728	FIP1_DANRE
mikado.22G736	VGFR2_DANRE
mikado.22G879	ZC3H3_HUMAN
mikado.22G984	LRP8_CHICK
mikado.23G173	CLIP1_MOUSE
mikado.23G403	RTBS_DROME
mikado.23G414	YI31B_YEAST
mikado.23G493	CARD8_HUMAN
mikado.23G521	TM127_DANRE
mikado.23G705	TC1A_CAEEL
mikado.23G854	PGBD4_HUMAN
mikado.23G973	RN122_HUMAN
mikado.23G991	CARTF_BOVIN
mikado.23G1171	RTXE_DROME
mikado.23G1222	CGNL1_HUMAN
mikado.24G23	LMO7_HUMAN
mikado.24G28	MTS1A_DANRE
mikado.24G221	RAB17_HUMAN
mikado.24G399	CIR1_RAT
mikado.24G624	BARD1_MOUSE
mikado.24G649	TITIN_MOUSE
mikado.24G869	BAG_STRAG
mikado.24G1139	CD276_XENLA
mikado.24G1202	TRI39_RAT
mikado.24G1218	PAR3L_HUMAN
mikado.24G1232	YPF17_PLAF7
mikado.25G31	ALMS1_HUMAN
mikado.25G32	GP152_MOUSE
mikado.25G106	TVB72_HUMAN
mikado.25G250	DYH6_HUMAN
mikado.25G253	DYH6_HUMAN
mikado.25G348	MGAP_HUMAN
mikado.25G735	HARB1_DANRE
mikado.25G762	BUB1B_HUMAN
mikado.25G770	IFI27_HUMAN
mikado.25G773	TGRM1_MOUSE
mikado.25G1101	DYHC1_MOUSE
mikado.26G148	GXN_ACRMI
mikado.26G216	NKPD1_HUMAN
mikado.26G329	EFCB5_MOUSE
mikado.26G339	RTBS_DROME
mikado.26G633	SON_MOUSE
mikado.26G943	VWA5A_RAT
mikado.26G1020	KPRP_MOUSE
mikado.26G1111	SGSM2_MOUSE
mikado.26G1187	RTJK_DROFU
mikado.27G323	RTJK_DROME
mikado.27G560	BNI3L_BOVIN
mikado.27G885	DPOE1_HUMAN
mikado.27G1178	ICML1_ARATH
mikado.28G77	HARB1_DANRE
mikado.28G122	C163A_CANLF
mikado.28G380	RTJK_DROME
mikado.28G580	ZN184_HUMAN
mikado.28G760	6PGD_HUMAN
mikado.28G829	COKA1_MOUSE
mikado.28G854	IGA4_HAEIF
mikado.28G915	HARB1_DANRE
mikado.28G1049	KI20B_MOUSE
mikado.28G1228	DCAF1_MOUSE
mikado.28G1261	IF122_DANRE
mikado.29G224	PAR14_MOUSE
mikado.29G301	KV2A6_MOUSE
mikado.29G553	GSE1_DANRE
mikado.29G595	STRC_MOUSE
mikado.29G613	AGRG4_MOUSE
mikado.29G673	PMFBP_RAT
mikado.29G995	TF29_SCHPO
mikado.29G1041	F151B_HUMAN
mikado.29G1032	TC3A_CAEEL
mikado.29G1038	CNTRL_MOUSE
mikado.30G517	Y5010_ARATH
mikado.30G637	ANO7_MOUSE
mikado.30G814	DTBP1_BOVIN
mikado.30G914	FLNB_MOUSE
mikado.30G967	POL2_DROME
mikado.30G1057	MYH6_HUMAN
mikado.30G1131	PEG3_BOVIN
mikado.30G1244	RBM10_MOUSE
mikado.31G184	NCOA6_HUMAN
mikado.31G271	IL5RA_HUMAN
mikado.31G382	TCB2_CAEBR
mikado.31G536	CABYR_VULVU
mikado.31G530	HARB1_DANRE
mikado.31G965	DI3L2_MOUSE
mikado.31G1050	LRP8_MOUSE
mikado.31G1084	CO4A3_BOVIN
mikado.31G1041	AGFG1_MOUSE
mikado.31G1108	HARB1_DANRE
mikado.31G1198	MTCL1_MOUSE
mikado.32G87	FRIM_SALSA
mikado.32G318	BEND6_HUMAN
mikado.32G744	PALM3_HUMAN
mikado.32G752	RGL1_DANRE
mikado.32G1118	HVM60_MOUSE
mikado.32G1431	TMC6_HUMAN
mikado.32G1440	CL12B_MOUSE
mikado.33G82	CENPO_XENTR
mikado.33G377	H1BP3_HUMAN
mikado.33G378	EX3L1_HUMAN
mikado.33G406	SCUB1_MOUSE
mikado.33G616	KIZ_DANRE
mikado.33G809	NKL_PIG
mikado.33G820	FCRL5_MOUSE
mikado.33G926	RDD1_RAT
mikado.33G1032	VPREB_MOUSE
mikado.33G1080	NALP5_HUMAN
mikado.34G32	FCGBP_HUMAN
mikado.34G175	PGBD4_HUMAN
mikado.34G356	DPTOR_MOUSE
mikado.34G472	PEG3_BOVIN
mikado.34G675	TRAK1_MOUSE
mikado.34G679	MET24_XENTR
mikado.34G872	RTBS_DROME
mikado.34G1010	YTX1_XENLA
mikado.34G1033	YTX1_XENLA
mikado.35G256	RTL1_HUMAN
mikado.35G399	SPAS1_HUMAN
mikado.35G417	IF172_DANRE
mikado.35G851	PKHG3_HUMAN
mikado.35G919	RTJK_DROME
mikado.35G947	MCM3_BOVIN
mikado.35G948	MCM3_CHICK
mikado.35G951	ELP3_DANRE
mikado.35G1000	ITSN2_HUMAN
mikado.36G100	PEG10_MOUSE
mikado.36G117	TF29_SCHPO
mikado.36G294	STMD1_MOUSE
mikado.36G388	RTBS_DROME
mikado.36G504	OXSM_HUMAN
mikado.36G643	TRBR1_HUMAN
mikado.36G698	DPTOR_MOUSE
mikado.36G701	TC1A_CAEEL
mikado.37G227	CO6A1_CHICK
mikado.37G500	MEP1B_HUMAN
mikado.37G576	PRT1B_HUMAN
mikado.37G709	A33_PLEWA
mikado.37G756	M4A4A_HUMAN
mikado.37G897	HARB1_DANRE
mikado.37G974	NLRP9_BOVIN
mikado.37G1166	RTBS_DROME
mikado.37G1197	CBX2_MOUSE
mikado.38G243	HIDE1_HUMAN
mikado.38G277	SEPT3_DANRE
mikado.38G437	RHBL3_MOUSE
mikado.38G891	SPTN2_HUMAN
mikado.38G951	NF7O_XENLA
mikado.38G952	IF2_RUMCH
mikado.38G982	SUSD1_HUMAN
mikado.38G992	NLRC3_HUMAN
mikado.38G993	CASPB_DANRE
mikado.38G961	NLRC3_HUMAN
mikado.38G1013	MYSS_CYPCA
mikado.38G1150	ZNF79_HUMAN
mikado.38G1124	ZN182_MOUSE
mikado.38G1404	CF2_DROME
mikado.39G65	CAVN2_RAT
mikado.39G141	BCOR_MOUSE
mikado.39G156	AGRG7_HUMAN
mikado.39G456	KEP1A_DANRE
mikado.39G489	PCNT_HUMAN
mikado.39G688	VWDE_HUMAN
mikado.40G42	FEL_CYPCA
mikado.40G102	INVO_PONPY
mikado.40G247	PAR12_MOUSE
mikado.40G542	PLA2R_MOUSE
mikado.40G672	SO1C1_HUMAN
mikado.1G1497	PALM3_HUMAN  PALM_MOUSE
mikado.1G2470	TMC5_HUMAN  TMC5_RAT
mikado.5G490	CSDE1_HUMAN  CSDE1_RAT
mikado.12G1927	DPOD3_HUMAN  DPOD3_MOUSE
mikado.15G110	ZN544_HUMAN  ZN879_MOUSE
mikado.17G254	STIL_MOUSE  STIL_DANRE
mikado.22G364	NFIL3_HUMAN  NFIL3_MOUSE
mikado.27G867	CEP78_HUMAN  CEP78_XENTR
mikado.32G974	SPOP_XENTR  SPOPB_XENLA
mikado.37G33	SNX27_MOUSE  SNX27_RAT
mikado.37G401	TNR14_MOUSE  TNR5_CANLF
