gid	ontology	goid	desc
mikado.16G1202	CC	0016020	membrane
mikado.16G1411	MF	0046872	metal ion binding
mikado.16G1473	CC	0005929	cilium
mikado.16G1473	MF	0005515	protein binding
mikado.16G169	BP	0046168	glycerol-3-phosphate catabolic process
mikado.16G169	MF	0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
mikado.16G169	MF	0051287	NAD binding
mikado.16G367	MF	0005525	GTP binding
mikado.16G517	MF	0008168	methyltransferase activity
mikado.16G517	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.16G557	BP	0055085	transmembrane transport
mikado.16G557	CC	0016020	membrane
mikado.16G557	MF	0015293	symporter activity
mikado.16G567	CC	0016020	membrane
mikado.16G682	BP	0006355	regulation of DNA-templated transcription
mikado.16G682	CC	0016020	membrane
mikado.16G856	BP	0055085	transmembrane transport
mikado.16G856	CC	0016020	membrane
mikado.16G856	MF	0015293	symporter activity
mikado.17G1031	BP	0034220	monoatomic ion transmembrane transport
mikado.17G1031	CC	0016020	membrane
mikado.17G1031	MF	0005216	monoatomic ion channel activity
mikado.17G1059	CC	0016020	membrane
mikado.17G1343	CC	0016020	membrane
mikado.17G1420	BP	0006672	ceramide metabolic process
mikado.17G1420	BP	0046512	sphingosine biosynthetic process
mikado.17G1420	CC	0016020	membrane
mikado.17G1420	MF	0017040	N-acylsphingosine amidohydrolase activity
mikado.17G1420	MF	0102121	ceramidase activity
mikado.17G156	CC	0016020	membrane
mikado.17G380	CC	0016020	membrane
mikado.17G769	MF	0046872	metal ion binding
mikado.17G910	CC	0016020	membrane
mikado.18G109	CC	0005581	collagen trimer
mikado.18G156	BP	0006278	RNA-templated DNA biosynthetic process
mikado.18G156	MF	0003964	RNA-directed DNA polymerase activity
mikado.18G446	MF	0003676	nucleic acid binding
mikado.18G494	MF	0003677	DNA binding
mikado.18G544	BP	0016579	protein deubiquitination
mikado.18G544	CC	0016020	membrane
mikado.18G544	MF	0004843	cysteine-type deubiquitinase activity
mikado.18G556	CC	0005581	collagen trimer
mikado.18G556	CC	0016020	membrane
mikado.18G677	BP	0048856	anatomical structure development
mikado.18G677	CC	0005576	extracellular region
mikado.18G677	CC	0016020	membrane
mikado.18G677	MF	0005509	calcium ion binding
mikado.18G677	MF	0005518	collagen binding
mikado.18G677	MF	0050840	extracellular matrix binding
mikado.18G843	BP	0007049	cell cycle
mikado.19G1090	BP	0042273	ribosomal large subunit biogenesis
mikado.19G1090	CC	0005730	nucleolus
mikado.19G1091	BP	0042273	ribosomal large subunit biogenesis
mikado.19G1091	CC	0005730	nucleolus
mikado.19G1106	BP	0006406	mRNA export from nucleus
mikado.19G1106	CC	0016607	nuclear speck
mikado.19G1106	MF	0003729	mRNA binding
mikado.19G1193	BP	0000226	microtubule cytoskeleton organization
mikado.19G1193	CC	0015630	microtubule cytoskeleton
mikado.19G1194	BP	0000226	microtubule cytoskeleton organization
mikado.19G1194	CC	0015630	microtubule cytoskeleton
mikado.19G1274	BP	0000398	mRNA splicing, via spliceosome
mikado.19G1274	BP	0006355	regulation of DNA-templated transcription
mikado.19G1274	BP	0007166	cell surface receptor signaling pathway
mikado.19G1274	BP	0007186	G protein-coupled receptor signaling pathway
mikado.19G1274	BP	0009653	anatomical structure morphogenesis
mikado.19G1274	BP	0048731	system development
mikado.19G1274	CC	0005634	nucleus
mikado.19G1274	CC	0005886	plasma membrane
mikado.19G1274	MF	0003723	RNA binding
mikado.19G1274	MF	0004930	G protein-coupled receptor activity
mikado.19G1421	CC	0031514	motile cilium
mikado.19G1428	CC	0031514	motile cilium
mikado.19G1430	CC	0031514	motile cilium
mikado.19G1462	MF	0046983	protein dimerization activity
mikado.19G198	MF	0003676	nucleic acid binding
mikado.19G198	MF	0004519	endonuclease activity
mikado.19G744	BP	0000209	protein polyubiquitination
mikado.19G744	BP	0006511	ubiquitin-dependent protein catabolic process
mikado.19G744	BP	0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
mikado.19G744	CC	0000151	ubiquitin ligase complex
mikado.19G744	CC	0005737	cytoplasm
mikado.19G744	MF	0008270	zinc ion binding
mikado.19G744	MF	0031624	ubiquitin conjugating enzyme binding
mikado.19G744	MF	0061630	ubiquitin protein ligase activity
mikado.19G754	CC	0016020	membrane
mikado.19G905	CC	0000785	chromatin
mikado.19G905	CC	0005634	nucleus
mikado.19G905	MF	0031492	nucleosomal DNA binding
mikado.19G996	BP	0006469	negative regulation of protein kinase activity
mikado.19G996	BP	0016310	phosphorylation
mikado.19G996	MF	0004860	protein kinase inhibitor activity
mikado.19G996	MF	0010858	calcium-dependent protein kinase regulator activity
mikado.19G996	MF	0016301	kinase activity
mikado.19G996	MF	0019901	protein kinase binding
mikado.1G1071	CC	0016020	membrane
mikado.1G1071	MF	0003677	DNA binding
mikado.1G1071	MF	0008270	zinc ion binding
mikado.1G1071	MF	0016740	transferase activity
mikado.1G1071	MF	0016874	ligase activity
mikado.1G1071	MF	0046872	metal ion binding
mikado.1G1093	BP	0007186	G protein-coupled receptor signaling pathway
mikado.1G1093	BP	0007411	axon guidance
mikado.1G1093	CC	0005886	plasma membrane
mikado.1G1093	CC	0016020	membrane
mikado.1G1093	MF	0003676	nucleic acid binding
mikado.1G1093	MF	0004930	G protein-coupled receptor activity
mikado.1G1394	BP	0006367	transcription initiation at RNA polymerase II promoter
mikado.1G1394	BP	0007155	cell adhesion
mikado.1G1623	BP	0006289	nucleotide-excision repair
mikado.1G1623	MF	0003678	DNA helicase activity
mikado.1G1810	BP	0032508	DNA duplex unwinding
mikado.1G1810	MF	0004842	ubiquitin-protein transferase activity
mikado.1G2216	BP	0006384	transcription initiation at RNA polymerase III promoter
mikado.1G2216	BP	0006511	ubiquitin-dependent protein catabolic process
mikado.1G2216	BP	0016567	protein ubiquitination
mikado.1G2216	CC	0000127	transcription factor TFIIIC complex
mikado.1G2216	MF	0061659	ubiquitin-like protein ligase activity
mikado.1G2220	BP	0002768	immune response-regulating cell surface receptor signaling pathway
mikado.1G2220	BP	0006384	transcription initiation at RNA polymerase III promoter
mikado.1G2220	BP	0006623	protein targeting to vacuole
mikado.1G2220	CC	0000127	transcription factor TFIIIC complex
mikado.1G2220	CC	0005886	plasma membrane
mikado.1G2220	CC	0016020	membrane
mikado.1G2220	MF	0003677	DNA binding
mikado.1G2220	MF	0038023	signaling receptor activity
mikado.1G2235	MF	0016740	transferase activity
mikado.1G2457	CC	0016020	membrane
mikado.1G2	BP	0006897	endocytosis
mikado.1G2	BP	0008089	anterograde axonal transport
mikado.1G2	CC	0016020	membrane
mikado.1G2	CC	1904115	axon cytoplasm
mikado.1G354	BP	0006468	protein phosphorylation
mikado.1G354	CC	0005634	nucleus
mikado.1G354	CC	0005739	mitochondrion
mikado.1G354	CC	0016020	membrane
mikado.1G354	MF	0004674	protein serine/threonine kinase activity
mikado.1G355	BP	0030522	intracellular receptor signaling pathway
mikado.1G355	MF	0003676	nucleic acid binding
mikado.1G355	MF	0004879	nuclear receptor activity
mikado.1G355	MF	0005524	ATP binding
mikado.1G355	MF	0008270	zinc ion binding
mikado.1G935	BP	0006355	regulation of DNA-templated transcription
mikado.1G935	CC	0005634	nucleus
mikado.20G108	BP	0007186	G protein-coupled receptor signaling pathway
mikado.20G108	CC	0016020	membrane
mikado.20G108	MF	0004930	G protein-coupled receptor activity
mikado.20G232	CC	0016020	membrane
mikado.20G474	CC	0016020	membrane
mikado.20G484	BP	0006397	mRNA processing
mikado.20G484	BP	0007165	signal transduction
mikado.20G484	BP	0008380	RNA splicing
mikado.20G484	CC	0005654	nucleoplasm
mikado.20G484	CC	1990904	ribonucleoprotein complex
mikado.20G484	MF	0003723	RNA binding
mikado.20G484	MF	0005179	hormone activity
mikado.20G484	MF	0160041	neuropeptide activity
mikado.20G50	BP	0042129	regulation of T cell proliferation
mikado.20G50	CC	0016020	membrane
mikado.20G582	CC	0016020	membrane
mikado.20G635	BP	0007166	cell surface receptor signaling pathway
mikado.20G635	BP	0007186	G protein-coupled receptor signaling pathway
mikado.20G635	BP	0032501	multicellular organismal process
mikado.20G635	BP	0048856	anatomical structure development
mikado.20G635	CC	0016020	membrane
mikado.20G635	CC	0071944	cell periphery
mikado.20G635	MF	0004888	transmembrane signaling receptor activity
mikado.20G635	MF	0030552	cAMP binding
mikado.20G678	BP	0034121	regulation of toll-like receptor signaling pathway
mikado.20G678	CC	0016020	membrane
mikado.20G701	BP	0015074	DNA integration
mikado.20G701	CC	0016020	membrane
mikado.20G701	MF	0003676	nucleic acid binding
mikado.20G701	MF	0008270	zinc ion binding
mikado.20G777	BP	0006886	intracellular protein transport
mikado.20G777	BP	0008277	regulation of G protein-coupled receptor signaling pathway
mikado.20G777	CC	0016020	membrane
mikado.20G777	MF	0015026	coreceptor activity
mikado.21G1092	CC	0016020	membrane
mikado.21G1256	MF	0003676	nucleic acid binding
mikado.21G1329	BP	0006470	protein dephosphorylation
mikado.21G1329	MF	0004725	protein tyrosine phosphatase activity
mikado.21G1443	CC	0005581	collagen trimer
mikado.21G1443	CC	0110165	cellular anatomical entity
mikado.21G193	MF	0008270	zinc ion binding
mikado.21G382	CC	0016020	membrane
mikado.21G457	CC	0016020	membrane
mikado.21G587	BP	0006955	immune response
mikado.21G587	CC	0005615	extracellular space
mikado.21G587	CC	0016020	membrane
mikado.21G650	BP	0006260	DNA replication
mikado.21G650	BP	0071897	DNA biosynthetic process
mikado.21G650	CC	0016020	membrane
mikado.21G650	MF	0000166	nucleotide binding
mikado.21G650	MF	0003677	DNA binding
mikado.21G650	MF	0003887	DNA-directed DNA polymerase activity
mikado.21G762	BP	0006541	glutamine metabolic process
mikado.21G762	BP	0030198	extracellular matrix organization
mikado.21G762	CC	0005581	collagen trimer
mikado.21G762	CC	0005604	basement membrane
mikado.21G762	CC	0005615	extracellular space
mikado.21G762	MF	0030020	extracellular matrix structural constituent conferring tensile strength
mikado.21G762	MF	0034722	gamma-glutamyl-peptidase activity
mikado.22G1007	MF	0008168	methyltransferase activity
mikado.22G1007	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.22G130	BP	0048468	cell development
mikado.22G130	BP	0048513	animal organ development
mikado.22G130	BP	0048731	system development
mikado.22G130	CC	0016020	membrane
mikado.22G130	MF	0005509	calcium ion binding
mikado.22G195	CC	0016020	membrane
mikado.22G206	MF	0003676	nucleic acid binding
mikado.22G364	BP	0006355	regulation of DNA-templated transcription
mikado.22G364	CC	0005634	nucleus
mikado.22G364	MF	0003677	DNA binding
mikado.22G364	MF	0003700	DNA-binding transcription factor activity
mikado.22G641	CC	0016020	membrane
mikado.22G677	CC	0016020	membrane
mikado.22G692	CC	0016020	membrane
mikado.22G807	BP	0015074	DNA integration
mikado.22G807	CC	0000792	heterochromatin
mikado.22G807	CC	0005634	nucleus
mikado.22G807	MF	0000166	nucleotide binding
mikado.22G807	MF	0003676	nucleic acid binding
mikado.22G807	MF	0008270	zinc ion binding
mikado.22G879	CC	0016020	membrane
mikado.22G879	MF	0046872	metal ion binding
mikado.23G1012	BP	0006955	immune response
mikado.23G1012	CC	0016020	membrane
mikado.23G1012	MF	0005164	tumor necrosis factor receptor binding
mikado.23G1171	MF	0003824	catalytic activity
mikado.23G1222	BP	0150105	protein localization to cell-cell junction
mikado.23G1222	CC	0005923	bicellular tight junction
mikado.23G1222	CC	0016459	myosin complex
mikado.23G173	CC	0005856	cytoskeleton
mikado.23G414	BP	0015074	DNA integration
mikado.23G414	MF	0003676	nucleic acid binding
mikado.23G493	BP	0042981	regulation of apoptotic process
mikado.23G521	CC	0016020	membrane
mikado.23G641	CC	0016020	membrane
mikado.23G705	MF	0003676	nucleic acid binding
mikado.23G991	BP	0006355	regulation of DNA-templated transcription
mikado.23G991	MF	0003700	DNA-binding transcription factor activity
mikado.23G991	MF	0008270	zinc ion binding
mikado.24G1139	CC	0016020	membrane
mikado.24G1202	MF	0016874	ligase activity
mikado.24G1202	MF	0046872	metal ion binding
mikado.24G23	BP	0023051	regulation of signaling
mikado.24G23	BP	0030155	regulation of cell adhesion
mikado.24G23	BP	0048513	animal organ development
mikado.24G23	MF	0046872	metal ion binding
mikado.24G399	BP	0045892	negative regulation of DNA-templated transcription
mikado.24G399	MF	0003714	transcription corepressor activity
mikado.24G508	CC	0016020	membrane
mikado.24G510	CC	0016020	membrane
mikado.24G511	CC	0016020	membrane
mikado.24G988	BP	0006508	proteolysis
mikado.24G988	MF	0003676	nucleic acid binding
mikado.24G988	MF	0004252	serine-type endopeptidase activity
mikado.24G988	MF	0004519	endonuclease activity
mikado.25G250	BP	0007018	microtubule-based movement
mikado.25G250	CC	0030286	dynein complex
mikado.25G250	MF	0008569	minus-end-directed microtubule motor activity
mikado.25G250	MF	0045505	dynein intermediate chain binding
mikado.25G250	MF	0051959	dynein light intermediate chain binding
mikado.25G32	BP	0006355	regulation of DNA-templated transcription
mikado.25G32	CC	0005634	nucleus
mikado.25G32	MF	0003677	DNA binding
mikado.25G32	MF	0003700	DNA-binding transcription factor activity
mikado.25G398	CC	0016020	membrane
mikado.25G398	MF	0008168	methyltransferase activity
mikado.25G398	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.25G735	CC	0005634	nucleus
mikado.25G735	CC	0005737	cytoplasm
mikado.25G735	CC	0016020	membrane
mikado.25G735	MF	0016787	hydrolase activity
mikado.25G735	MF	0046872	metal ion binding
mikado.25G770	CC	0016020	membrane
mikado.25G773	BP	0000226	microtubule cytoskeleton organization
mikado.25G773	BP	0051128	regulation of cellular component organization
mikado.25G773	CC	0005737	cytoplasm
mikado.25G773	CC	0005929	cilium
mikado.25G773	CC	0043232	intracellular non-membrane-bounded organelle
mikado.25G773	CC	0099080	supramolecular complex
mikado.25G773	MF	0008017	microtubule binding
mikado.26G1111	CC	0031410	cytoplasmic vesicle
mikado.26G1111	MF	0005096	GTPase activator activity
mikado.26G275	MF	0046872	metal ion binding
mikado.26G339	CC	0016020	membrane
mikado.26G633	CC	0016020	membrane
mikado.26G72	CC	0016020	membrane
mikado.26G900	MF	0008168	methyltransferase activity
mikado.26G900	MF	0016706	2-oxoglutarate-dependent dioxygenase activity
mikado.27G108	BP	0006278	RNA-templated DNA biosynthetic process
mikado.27G108	MF	0003964	RNA-directed DNA polymerase activity
mikado.27G1153	CC	0016020	membrane
mikado.27G1178	CC	0016020	membrane
mikado.27G197	CC	0016020	membrane
mikado.27G560	BP	0019222	regulation of metabolic process
mikado.27G560	BP	0043065	positive regulation of apoptotic process
mikado.27G560	BP	0051607	defense response to virus
mikado.27G560	BP	0097345	mitochondrial outer membrane permeabilization
mikado.27G560	CC	0005635	nuclear envelope
mikado.27G560	CC	0005740	mitochondrial envelope
mikado.27G560	CC	0005783	endoplasmic reticulum
mikado.27G560	CC	0016020	membrane
mikado.27G560	MF	0042802	identical protein binding
mikado.27G842	MF	0046983	protein dimerization activity
mikado.27G867	BP	0044782	cilium organization
mikado.27G867	CC	0005737	cytoplasm
mikado.27G867	CC	0005813	centrosome
mikado.27G867	CC	0005815	microtubule organizing center
mikado.27G867	CC	0005929	cilium
mikado.27G885	BP	0006260	DNA replication
mikado.27G885	BP	0006281	DNA repair
mikado.27G885	BP	0071897	DNA biosynthetic process
mikado.27G885	CC	0008622	epsilon DNA polymerase complex
mikado.27G885	MF	0003677	DNA binding
mikado.27G885	MF	0003887	DNA-directed DNA polymerase activity
mikado.27G885	MF	0008270	zinc ion binding
mikado.27G885	MF	0051539	4 iron, 4 sulfur cluster binding
mikado.27G953	CC	0016020	membrane
mikado.28G1049	BP	0007018	microtubule-based movement
mikado.28G1049	BP	0048731	system development
mikado.28G1049	CC	0016020	membrane
mikado.28G1049	MF	0003777	microtubule motor activity
mikado.28G1049	MF	0005524	ATP binding
mikado.28G1049	MF	0008017	microtubule binding
mikado.28G122	BP	0006897	endocytosis
mikado.28G122	CC	0016020	membrane
mikado.28G122	MF	0005044	scavenger receptor activity
mikado.28G164	CC	0016020	membrane
mikado.28G580	BP	0006313	DNA transposition
mikado.28G580	BP	0015074	DNA integration
mikado.28G580	CC	0016020	membrane
mikado.28G580	MF	0003677	DNA binding
mikado.28G760	BP	0006098	pentose-phosphate shunt
mikado.28G760	BP	0009313	oligosaccharide catabolic process
mikado.28G760	BP	0019322	pentose biosynthetic process
mikado.28G760	BP	0019521	D-gluconate metabolic process
mikado.28G760	BP	0046176	aldonic acid catabolic process
mikado.28G760	CC	0005829	cytosol
mikado.28G760	MF	0004616	phosphogluconate dehydrogenase (decarboxylating) activity
mikado.28G760	MF	0008114	phosphogluconate 2-dehydrogenase activity
mikado.28G760	MF	0050661	NADP binding
mikado.28G77	CC	0005634	nucleus
mikado.28G77	CC	0005737	cytoplasm
mikado.28G77	CC	0016020	membrane
mikado.28G77	MF	0016787	hydrolase activity
mikado.28G77	MF	0046872	metal ion binding
mikado.28G829	CC	0005581	collagen trimer
mikado.28G854	CC	0016020	membrane
mikado.28G915	CC	0005634	nucleus
mikado.28G915	CC	0005737	cytoplasm
mikado.28G915	CC	0016020	membrane
mikado.28G915	MF	0016787	hydrolase activity
mikado.28G915	MF	0046872	metal ion binding
mikado.29G1032	MF	0003676	nucleic acid binding
mikado.29G1	BP	0032922	circadian regulation of gene expression
mikado.29G1	MF	0000976	transcription cis-regulatory region binding
mikado.29G214	CC	0016020	membrane
mikado.29G224	CC	0016020	membrane
mikado.29G280	CC	0016020	membrane
mikado.29G281	CC	0016020	membrane
mikado.29G486	BP	0021549	cerebellum development
mikado.29G486	BP	0030182	neuron differentiation
mikado.29G486	CC	0016020	membrane
mikado.29G595	CC	0110165	cellular anatomical entity
mikado.29G613	BP	0007166	cell surface receptor signaling pathway
mikado.29G613	BP	0007186	G protein-coupled receptor signaling pathway
mikado.29G613	CC	0016020	membrane
mikado.29G613	MF	0004930	G protein-coupled receptor activity
mikado.2G115	CC	0016020	membrane
mikado.2G115	MF	0030246	carbohydrate binding
mikado.2G118	CC	0016020	membrane
mikado.2G119	BP	0098609	cell-cell adhesion
mikado.2G119	CC	0016020	membrane
mikado.2G120	CC	0016020	membrane
mikado.2G120	MF	0030246	carbohydrate binding
mikado.2G123	CC	0016020	membrane
mikado.2G123	MF	0030246	carbohydrate binding
mikado.2G1324	BP	0006278	RNA-templated DNA biosynthetic process
mikado.2G1324	MF	0003964	RNA-directed DNA polymerase activity
mikado.2G1485	BP	0006351	DNA-templated transcription
mikado.2G1485	BP	0006355	regulation of DNA-templated transcription
mikado.2G1485	CC	0005634	nucleus
mikado.2G1485	MF	0003677	DNA binding
mikado.2G290	BP	0051301	cell division
mikado.2G290	BP	0090307	mitotic spindle assembly
mikado.2G290	CC	0005737	cytoplasm
mikado.2G290	CC	0005814	centriole
mikado.2G290	CC	0005819	spindle
mikado.2G291	BP	0042981	regulation of apoptotic process
mikado.2G45	CC	0016020	membrane
mikado.2G506	BP	0010921	regulation of phosphatase activity
