gid	desc
mikado.13G1238	Ras and Rab interactor 2;SH2 domain-containing protein;(spotted green pufferfish) hypothetical protein (Fragment);VPS9 domain-containing protein
mikado.13G1507	Ig-like domain-containing protein
mikado.13G1930	Poly [ADP-ribose] polymerase
mikado.13G2041	RYR1 ryanodine receptor (Fragment)
mikado.13G219	CCHC-type domain-containing protein
mikado.13G316	Peptidase C80 domain-containing protein
mikado.13G325	Tubulin beta chain (Fragment)
mikado.13G766	Regulator of cell cycle RGCC-like
mikado.13G888	Platelet-derived growth factor receptor-like protein
mikado.13G907	ATP-binding cassette sub-family B member 7, mitochondrial-like
mikado.14G1325	Myb/SANT-like DNA-binding domain-containing protein
mikado.14G1326	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.14G1445	Reverse transcriptase domain-containing protein
mikado.14G1536	Signal-induced proliferation-associated 1-like protein C-terminal domain-containing protein
mikado.14G1718	Eukaryotic translation initiation factor 3 subunit A-like;YLP motif-containing protein 1-like isoform X2
mikado.14G1729	IF rod domain-containing protein;Keratin 94;Keratin, type I cytoskeletal 13-like
mikado.14G1757	Nuclease HARBI1
mikado.14G1815	Ig-like domain-containing protein;Immunoglobulin subtype domain-containing protein
mikado.14G1823	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.14G1824	Myb/SANT-like DNA-binding domain-containing protein
mikado.14G195	Apoptosis regulator Bcl-2 family BH4 domain-containing protein
mikado.14G1971	Ig-like domain-containing protein
mikado.14G1991	Apolipoprotein M
mikado.14G2099	HIT domain-containing protein;Transcript variant X1
mikado.14G220	C2H2-type domain-containing protein;Krueppel homolog 1-like;Zinc finger and SCAN domain-containing protein 22-like
mikado.14G2210	Fc receptor-like protein 5;Ig-like domain-containing protein;Junctional adhesion molecule A
mikado.14G2229	Coiled-coil domain-containing 25
mikado.14G2315	Pancreatic secretory granule membrane major glycoprotein GP2-like;Uromodulin;ZP domain-containing protein
mikado.14G2321	Cadherin cytoplasmic C-terminal domain-containing protein
mikado.14G2378	Glycine-rich cell wall structural protein 1-like
mikado.14G2383	Bromodomain-containing protein 4-like;Bromodomain protein 4 C-terminal domain-containing protein
mikado.14G2398	Myosin motor domain-containing protein
mikado.14G239	cGMP-dependent protein kinase interacting domain-containing protein;Chromo domain-containing protein;Protein phosphatase 1 regulatory subunit 12B
mikado.14G2430	TNF family profile domain-containing protein
mikado.14G2462	AIG1-type G domain-containing protein;GTPase IMAP family member 7-like
mikado.14G259	Apoptosis facilitator Bcl-2-like protein 14
mikado.14G281	Reverse transcriptase RNase H-like domain-containing protein (Fragment)
mikado.14G373	TNFR-Cys domain-containing protein;Tumor necrosis factor receptor superfamily member 21;Tumor necrosis factor receptor superfamily member 21-like isoform X3
mikado.14G430	Reverse transcriptase domain-containing protein
mikado.14G518	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.14G531	Interferon-induced GTP-binding protein Mx;Interferon-induced GTP-binding protein Mx1;Interferon-induced GTP-binding protein Mx2;Interferon-induced GTP-binding protein Mx3;Interferon-induced GTP-binding protein Mx4;Myoxvirus resistance protein A
mikado.14G71	E3 ubiquitin-protein ligase TRIM32;RING finger protein 208;RING-type domain-containing protein
mikado.14G73	CCHC-type domain-containing protein
mikado.14G782	C-type lectin domain-containing protein
mikado.14G922	Inactive dipeptidyl peptidase 10-like;Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein
mikado.14G940	Signaling threshold-regulating transmembrane adapter 1
mikado.15G110	C2H2-type domain-containing protein;Zinc finger protein 436-like;Zinc finger protein with KRAB and SCAN domains 1-like
mikado.15G1241	Rapamycin-insensitive companion of mTOR domain-containing protein
mikado.15G1315	Tetratricopeptide repeat protein 28
mikado.15G1402	Reverse transcriptase domain-containing protein
mikado.15G144	Carcinoembryonic antigen-related cell adhesion molecule 5-like;Ig-like domain-containing protein
mikado.15G1494	RING-type domain-containing protein
mikado.15G1545	Immunoglobulin V-set domain-containing protein;MD-2-related lipid-recognition domain-containing protein;MHD domain-containing protein
mikado.15G597	Reverse transcriptase domain-containing protein
mikado.15G696	CNH domain-containing protein;Meckel syndrome type 1 protein homolog
mikado.15G865	IQCJ-SCHIP1 readthrough transcript protein;Schwannomin-interacting protein 1;Schwannomin interacting protein 1 C-terminal domain-containing protein;Schwannomin-interacting protein 1-like;Schwannomin-interacting protein 1-like isoform X2
mikado.15G887	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.15G913	C2H2-type domain-containing protein;JmjN domain-containing protein
mikado.15G915	IBR domain-containing protein;RBR-type E3 ubiquitin transferase;RING-type domain-containing protein
mikado.15G91	Golgin subfamily A member 6-like protein 22;Trichohyalin-like
mikado.16G1111	Tc1-like transposase DDE domain-containing protein
mikado.16G1202	TNFR-Cys domain-containing protein;Tumor necrosis factor receptor superfamily member 21;Tumor necrosis factor receptor superfamily member 21-like isoform X3
mikado.16G1306	Apoptosis facilitator Bcl-2-like protein 14
mikado.16G1383	HTH psq-type domain-containing protein
mikado.16G1384	PiggyBac transposable element-derived protein domain-containing protein
mikado.16G1411	DDE Tnp4 domain-containing protein
mikado.16G1473	Low in Lung Cancer 1
mikado.16G155	R domain-containing protein
mikado.16G169	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like
mikado.16G367	G domain-containing protein
mikado.16G398	Translin-associated factor X-interacting protein 1 N-terminal domain-containing protein
mikado.16G517	Reverse transcriptase domain-containing protein
mikado.16G557	Sodium- and chloride-dependent GABA transporter 2-like
mikado.16G629	TIM protein (Fragment)
mikado.16G682	Leucine-rich repeat flightless-interacting protein 2-like
mikado.17G1031	Cyclic nucleotide gated channel subunit beta 1b;Transcript variant X1
mikado.17G1059	(spotted green pufferfish) hypothetical protein (Fragment)
mikado.17G1420	ceramidase;Glucose-dependent insulinotropic receptor;G-protein coupled receptors family 1 profile domain-containing protein;Syntaxin-binding protein 2;Tail tape measure protein gp18
mikado.17G297	Phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein-like;UPAR/Ly6 domain-containing protein
mikado.17G380	Ferric-chelate reductase 1;Reelin domain-containing protein
mikado.17G710	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein;Reverse transcriptase domain-containing protein
mikado.17G769	FinTRIM family, member 11;Tripartite motif-containing protein 16-like
mikado.17G772	Proteoglycan 4-like
mikado.17G786	PiggyBac transposable element-derived protein domain-containing protein
mikado.17G910	G-protein coupled receptors family 2 profile 2 domain-containing protein
mikado.18G1030	FinTRIM family, member 11;Stonustoxin subunit beta-like
mikado.18G109	Nematode cuticle collagen N-terminal domain-containing protein
mikado.18G156	Reverse transcriptase domain-containing protein
mikado.18G446	Tc1-like transposase DDE domain-containing protein
mikado.18G494	BEN domain-containing protein
mikado.18G502	Reverse transcriptase domain-containing protein
mikado.18G544	Inactive ubiquitin carboxyl-terminal hydrolase 54-like;Ubiquitin specific peptidase 54a;USP domain-containing protein
mikado.18G556	Collagen alpha-1(XIII) chain
mikado.18G575	Tetratricopeptide repeat protein 27 (Fragment)
mikado.18G580	C2H2-type domain-containing protein;Serine/arginine repetitive matrix protein 2
mikado.18G677	EF-hand domain-containing protein (Fragment);SPARC;SPARC-like protein 1
mikado.18G766	Classical arabinogalactan protein 11-like
mikado.18G843	Arginine vasopressin-induced protein 1
mikado.19G1090	WD repeat domain 74
mikado.19G1091	WD repeat domain 74 (Fragment)
mikado.19G1106	UAP56-interacting factor (Fragment)
mikado.19G1193	MAP7 domain containing 2a
mikado.19G1194	MAP7 domain containing 2b
mikado.19G1274	Adhesion G protein-coupled receptor G4b;G protein-coupled receptor 112;G-protein coupled receptors family 2 profile 2 domain-containing protein;GPS domain-containing protein (Fragment)
mikado.19G1319	Bicaudal D-related protein 1;Bicaudal-D-related protein 2-like;BICD family-like cargo adapter 1;Schwannomin interacting protein 1 C-terminal domain-containing protein
mikado.19G1421	Cilia- and flagella-associated protein 54-like
mikado.19G1428	Cilia- and flagella-associated protein 54-like;Fibronectin type-III domain-containing protein
mikado.19G1430	Putative cilia-and flagella-associated protein 54-like
mikado.19G1433	Cilia- and flagella-associated protein 54-like
mikado.19G1462	DUF4371 domain-containing protein (Fragment);TTF-type domain-containing protein;Zinc finger MYM-type protein 1
mikado.19G198	Receptor-type tyrosine-phosphatase U-like protein;Tc1-like transposase DDE domain-containing protein
mikado.19G744	IBR domain-containing protein;RBR-type E3 ubiquitin transferase;RING-type domain-containing protein
mikado.19G754	C-type lectin domain-containing protein
mikado.19G760	C2H2-type domain-containing protein;JmjN domain-containing protein
mikado.19G905	Non-histone chromosomal protein HMG-14A-like isoform X1
mikado.19G996	Calcium/calmodulin-dependent protein kinase II inhibitor 1
mikado.1G1071	Fibronectin type-III domain-containing protein
mikado.1G1093	General transcription and DNA repair factor IIH helicase subunit XPB (Fragment);(spotted green pufferfish) hypothetical protein (Fragment)
mikado.1G1140	Bicaudal D-related protein 2-like
mikado.1G1214	HECT-type E3 ubiquitin transferase
mikado.1G1394	B- and T-lymphocyte attenuator-like isoform X1;Neuropilin C-terminal domain-containing protein
mikado.1G1497	Neuropilin-2 Vascular endothelial cell growth factor 165 receptor 2
mikado.1G1623	Dachshund;JmjC domain-containing protein (Fragment);Zinc finger protein 862-like
mikado.1G2216	DUF4371 domain-containing protein (Fragment);Threonylcarbamoyladenosine tRNA methylthiotransferase
mikado.1G2220	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein
mikado.1G2235	T cell receptor beta variable 12-3
mikado.1G2457	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein (Fragment)
mikado.1G2	E3 ubiquitin-protein ligase RNF216;Ring finger protein 216
mikado.1G354	CCHC-type domain-containing protein;RING-type domain-containing protein (Fragment)
mikado.1G355	Extracellular calcium-sensing receptor-like;G-protein coupled receptors family 3 profile domain-containing protein;NACHT domain-containing protein
mikado.1G490	NACHT, LRR and PYD domains-containing protein 12-like
mikado.1G935	P-type ATPase C-terminal domain-containing protein
mikado.20G108	G-protein coupled receptors family 1 profile domain-containing protein
mikado.20G19	Capping protein inhibiting regulator of actin dynamics-like
mikado.20G232	Carcinoembryonic antigen-related cell adhesion molecule 1-like isoform X2;Ig-like domain-containing protein
mikado.20G484	Chromo domain-containing protein;La-related protein 7;M-phase phosphoprotein 8
mikado.20G537	BTB domain-containing protein;Serine/arginine repetitive matrix protein 1-like
mikado.20G582	Ig-like domain-containing protein (Fragment)
mikado.20G635	CRLA protein (Fragment);Cyclic AMP receptor-like protein A;G-protein coupled receptors family 2 profile 2 domain-containing protein
mikado.20G678	TLR adaptor interacting with endolysosomal SLC15A4
mikado.20G701	ribonuclease H
mikado.20G773	DUF4371 domain-containing protein (Fragment)
mikado.20G777	Receptor activity-modifying protein 1 (Fragment)
mikado.21G1092	SH2 domain-containing protein
mikado.21G1256	Integrase catalytic domain-containing protein
mikado.21G1329	Protein tyrosine phosphatase receptor type Fa;Receptor-type tyrosine-protein phosphatase F
mikado.21G1443	Collagen alpha-1(VI) chain;Collagen, type VI, alpha 1 (Fragment);VWFA domain-containing protein
mikado.21G193	B box-type domain-containing protein;PiggyBac transposable element-derived protein domain-containing protein
mikado.21G382	G-protein coupled receptors family 2 profile 2 domain-containing protein;MARVEL domain-containing protein;Taste receptor type 2;Tryptophan-rich sensory protein
mikado.21G457	MHC class I-like antigen recognition-like domain-containing protein
mikado.21G581	Ig heavy chain V region XIG14;Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein;T-cell receptor alpha/delta variable 8.0
mikado.21G587	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein;T-cell receptor alpha/delta variable 22.0
mikado.21G650	DNA-directed DNA polymerase
mikado.21G762	Collagen alpha-1(XVIII) chain-like;Collagen, type XV, alpha 1b;folate gamma-glutamyl hydrolase;Ig-like domain-containing protein;Laminin G domain-containing protein;(spotted green pufferfish) hypothetical protein (Fragment)
mikado.21G986	CxC3 like cysteine cluster domain-containing protein (Fragment)
mikado.22G1007	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein
mikado.22G130	Adhesion G protein-coupled receptor E2;alanine transaminase;EGF-like domain-containing protein;Fibrillin-1;Fibropellin-1 isoform X1;Multiple epidermal growth factor-like domains protein 6;Signal peptide, CUB and EGF-like domain-containing protein 1;Transcript variant X2
mikado.22G162	CxC3 like cysteine cluster domain-containing protein (Fragment)
mikado.22G195	Ig-like domain-containing protein
mikado.22G1	DUF4371 domain-containing protein (Fragment)
mikado.22G206	Tc1-like transposase DDE domain-containing protein
mikado.22G364	BZIP domain-containing protein;Cell death specification protein 2-like
mikado.22G607	Coiled-coil domain-containing protein 190;Coiled-coil domain-containing protein 190-like isoform X2
mikado.22G677	Bartter syndrome, infantile, with sensorineural deafness (Barttin);Barttin
mikado.22G807	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 isoform X1;Integrase catalytic domain-containing protein;Reverse transcriptase domain-containing protein;ribonuclease H
mikado.22G879	C3H1-type domain-containing protein;Zinc finger CCCH domain-containing protein 3-like
mikado.23G1012	TNF family profile domain-containing protein
mikado.23G1107	Ig-like domain-containing protein
mikado.23G1171	Reverse transcriptase domain-containing protein
mikado.23G1222	Cingulin-like protein 1;Myosin tail domain-containing protein;Restin homolog
mikado.23G173	CAP-Gly domain-containing linker protein 1;CAP-Gly domain-containing protein;Transcript variant X2
mikado.23G403	Reverse transcriptase domain-containing protein
mikado.23G414	Integrase catalytic domain-containing protein
mikado.23G493	CARD domain-containing protein;Caspase recruitment domain-containing protein 8-like
mikado.23G521	Amino acid permease/ SLC12A domain-containing protein;Transmembrane protein 127 transmembrane region domain-containing protein
mikado.23G705	Tc1-like transposase DDE domain-containing protein
mikado.23G708	Cytochrome b5 heme-binding domain-containing protein
mikado.23G854	PiggyBac transposable element-derived protein domain-containing protein
mikado.23G991	SWIM-type domain-containing protein
mikado.24G1139	Butyrophilin-like protein 10 isoform X1;CD80-like immunoglobulin C2-set domain-containing protein;Ig-like domain-containing protein;T-lymphocyte activation antigen CD80-like
mikado.24G1202	E3 ubiquitin-protein ligase TRIM39-like;Zinc-binding protein A33-like;Zinc finger protein RFP-like
mikado.24G1246	Nuclear pore complex protein NUP62-like isoform X1
mikado.24G23	LIM domain 7
mikado.24G28	Microtubule-associated tumor suppressor 1 homolog A-like
mikado.24G508	Carcinoembryonic antigen-related cell adhesion molecule 1-like isoform X3;Ig-like domain-containing protein
mikado.24G510	Carcinoembryonic antigen-related cell adhesion molecule 1-like isoform X3;Ig-like domain-containing protein
mikado.24G511	Carcinoembryonic antigen-related cell adhesion molecule 1-like isoform X2;Ig-like domain-containing protein
mikado.24G587	Endonuclease/exonuclease/phosphatase domain-containing protein
mikado.24G649	Ig-like domain-containing protein
mikado.24G988	Receptor-type tyrosine-phosphatase U-like protein;Tc1-like transposase DDE domain-containing protein
mikado.25G106	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein
mikado.25G171	CMP/dCMP-type deaminase domain-containing protein
mikado.25G250	Dynein heavy chain 7, axonemal
mikado.25G398	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein;Reverse transcriptase domain-containing protein
mikado.25G452	Vasculin
mikado.25G720	Myb/SANT-like DNA-binding domain-containing protein
mikado.25G735	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.25G770	GDNF/GAS1 domain-containing protein;Interferon alpha-inducible protein 27-like protein 2B
mikado.25G773	TOG domain-containing protein
mikado.26G1111	Rab-GAP TBC domain-containing protein;Small G protein signaling modulator 2
mikado.26G1187	Reverse transcriptase domain-containing protein
mikado.26G275	Dehydrin 13;Splicing regulatory glutamine/lysine-rich protein 1-like
mikado.26G329	EF-hand calcium-binding domain-containing protein 5-like
mikado.26G339	Reverse transcriptase domain-containing protein
mikado.26G633	Ig-like domain-containing protein
mikado.26G72	Immunoglobulin subtype domain-containing protein;Sushi domain-containing protein;Transcript variant X1
mikado.26G900	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein;Reverse transcriptase domain-containing protein
mikado.27G108	Reverse transcriptase domain-containing protein
mikado.27G1153	C-type lectin domain-containing protein
mikado.27G1178	Kynurenine formamidase;Probable isoprenylcysteine alpha-carbonyl methylesterase ICME;Probable isoprenylcysteine alpha-carbonyl methylesterase ICMEL2
mikado.27G197	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein
mikado.27G323	Reverse transcriptase domain-containing protein
mikado.27G437	Golgin subfamily A member 6-like protein 24 isoform X1;Trichohyalin isoform X1;Trichohyalin-like
mikado.27G560	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like;BCL2 interacting protein 3 like a;BCL2-interacting protein 3-like a
mikado.27G842	HAT C-terminal dimerisation domain-containing protein
mikado.27G867	Centrosomal protein 78;Transcript variant X3
mikado.27G885	DNA polymerase epsilon catalytic subunit
mikado.28G1049	Kinesin motor domain-containing protein
mikado.28G122	Deleted in malignant brain tumors 1 protein-like;Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D;SRCR domain-containing protein
mikado.28G164	Immunoglobulin V-set domain-containing protein;Immunoglobulin V-set domain-containing protein (Fragment)
mikado.28G380	Reverse transcriptase domain-containing protein
mikado.28G486	Chromo domain-containing protein
mikado.28G580	C2H2-type domain-containing protein;Zinc finger and BTB domain-containing protein 47-like
mikado.28G760	6-phosphogluconate dehydrogenase, decarboxylating
mikado.28G77	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.28G829	Collagen alpha-1(IX) chain;Collagen, type XX, alpha 1
mikado.28G854	Fibrous sheath CABYR-binding protein-like;Podoplanin
mikado.28G915	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.29G1032	Tc1-like transposase DDE domain-containing protein
mikado.29G1074	Myb/SANT-like DNA-binding domain-containing protein
mikado.29G1	Circadian-associated transcriptional repressor-like;Dentin sialophosphoprotein-like
mikado.29G214	Dynein heavy chain coiled coil stalk domain-containing protein;Myosin heavy chain, clone 203
mikado.29G281	Immunoglobulin subtype domain-containing protein
mikado.29G486	Cell cycle exit and neuronal differentiation protein 1
mikado.29G553	Genetic suppressor element-like domain-containing protein
mikado.29G595	Stereocilin
mikado.29G613	Adhesion G protein-coupled receptor G4b;G-protein coupled receptors family 2 profile 2 domain-containing protein
mikado.2G115	Ig-like domain-containing protein;Myelin-associated glycoprotein-like;Myeloid cell surface antigen CD33-like;Sialic acid-binding Ig-like lectin 6;Vascular cell adhesion protein 1-like
mikado.2G118	Ig-like domain-containing protein;Myelin-associated glycoprotein-like;Sialic acid-binding Ig-like lectin 6;Vascular cell adhesion protein 1-like
mikado.2G119	Myelin-associated glycoprotein-like;Myelin-associated glycoprotein-like isoform X1;Myeloid cell surface antigen CD33-like;Sialic acid-binding Ig-like lectin 6;Vascular cell adhesion protein 1-like
mikado.2G120	Ig-like domain-containing protein;Myelin-associated glycoprotein-like;Myelin-associated glycoprotein-like isoform X1;Myelin-associated glycoprotein-like isoform X3;Myeloid cell surface antigen CD33-like;Sialic acid-binding Ig-like lectin 6;Sialoadhesin Sialic acid-binding Ig-like lectin 1;Vascular cell adhesion protein 1-like
mikado.2G121	Ig-like domain-containing protein;Immunoglobulin V-set domain-containing protein;Myelin-associated glycoprotein;Myelin-associated glycoprotein-like
mikado.2G123	Myelin-associated glycoprotein-like;Myelin-associated glycoprotein-like isoform X1;Myeloid cell surface antigen CD33-like;Sialic acid-binding Ig-like lectin 6;Vascular cell adhesion protein 1-like
mikado.2G1324	Reverse transcriptase domain-containing protein
mikado.2G1485	MADF domain-containing protein
mikado.2G1513	CxC3 like cysteine cluster domain-containing protein
mikado.2G290	Spindle and centriole-associated protein 1
mikado.2G291	CARD domain-containing protein
mikado.2G388	Cytoskeletal protein Sojo-like
mikado.2G420	DUF4210 domain-containing protein (Fragment);Serine-rich adhesin for platelets-like
mikado.2G45	Reverse transcriptase domain-containing protein
mikado.2G506	Prolactin receptor (Fragment);Protein phosphatase 1 regulatory subunit 17
mikado.2G512	E3 ubiquitin-protein ligase
mikado.2G701	DnaJ homologue subfamily C GRV2/DNAJC13 N-terminal domain-containing protein
mikado.2G841	DDE Tnp4 domain-containing protein
mikado.2G842	Myb/SANT-like DNA-binding domain-containing protein
mikado.2G920	Transcription factor AP-2 C-terminal domain-containing protein
mikado.2G926	Aryl hydrocarbon receptor;Endothelial PAS domain protein 1b
mikado.30G1147	LEM domain-containing protein
mikado.30G1244	RNA binding motif protein 10
mikado.30G21	Fibrous sheath CABYR-binding protein-like;Podoplanin
mikado.30G517	DUF393 domain-containing protein;Thiol-disulfide oxidoreductase DCC
mikado.30G637	Anoctamin
mikado.30G814	Dysbindin;Dystrobrevin binding protein 1
mikado.30G967	Retrovirus-related Pol polyprotein from transposon 17.6;Reverse transcriptase domain-containing protein;ribonuclease H
mikado.31G1041	Arf-GAP domain and FG repeat-containing protein 1-like isoform X1
mikado.31G1084	Collagen IV NC1 domain-containing protein
mikado.31G1108	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.31G1198	Microtubule cross-linking factor 1-like
mikado.31G133	Interleukin-7
mikado.31G184	DNA topoisomerase I;Nuclear receptor coactivator 6;Transcript variant X3
mikado.31G271	Fibronectin type-III domain-containing protein;Interleukin-5 receptor subunit alpha
mikado.31G382	Transposase
mikado.31G514	Reverse transcriptase domain-containing protein
mikado.31G530	DDE Tnp4 domain-containing protein;Nuclease HARBI1
mikado.31G805	G-protein coupled receptors family 2 profile 2 domain-containing protein;MARVEL domain-containing protein;Taste receptor type 2;Tryptophan-rich sensory protein
mikado.31G884	Tc1-like transposase DDE domain-containing protein
mikado.32G1114	Integrase catalytic domain-containing protein
mikado.32G1118	Ig heavy chain V region M315;Ig-like domain-containing protein;Immunoglobulin heavy variable 13-2
mikado.32G1209	Nuclear apoptosis-inducing factor 1
mikado.32G1307	Immunoglobulin subtype domain-containing protein
mikado.32G1431	Transmembrane channel-like protein
mikado.32G1440	C-type lectin domain-containing protein
mikado.32G318	BEN domain-containing protein
mikado.32G415	MRG domain-containing protein
mikado.32G752	Ral guanine nucleotide dissociation stimulator-like 1
mikado.32G823	Alkylated DNA repair protein AlkB homologue 8 N-terminal domain-containing protein
mikado.32G87	Ferritin
mikado.32G974	MATH domain-containing protein (Fragment);Speckle type BTB/POZ protein;Speckle-type poz protein;Speckle-type POZ protein (Fragment);SPOP protein (Fragment)
mikado.33G1032	Ig-like domain-containing protein
mikado.33G1080	NACHT LRR and PYD domain-containing protein
mikado.33G286	Vasculin
mikado.33G325	Trichohyalin-like
mikado.33G378	Exocyst complex component Sec6
mikado.33G406	E3 ubiquitin-protein ligase RNF4;Laminin subunit gamma-2;Latent-transforming growth factor beta-binding protein 2;Major surface trophozoite antigen 11;Proprotein convertase subtilisin/kexin type 5;Signal peptide, CUB and EGF-like domain-containing protein 2;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like;TNFR-Cys domain-containing protein;Tumor necrosis factor receptor superfamily member 9-like;Tyrosine-protein kinase ephrin type A/B receptor-like domain-containing protein
mikado.33G708	Reverse transcriptase domain-containing protein
mikado.33G809	Antimicrobial peptide NK-lysin-like;Saposin B-type domain-containing protein;Saposin-C
mikado.33G820	Ig-like domain-containing protein;Peroxidasin homolog isoform X2
mikado.33G82	Centromere protein O
mikado.33G837	Ig-like domain-containing protein;Immunoglobulin subtype domain-containing protein
mikado.34G1010	CCHC-type domain-containing protein
mikado.34G1033	CCHC-type domain-containing protein
mikado.34G175	PiggyBac transposable element-derived protein domain-containing protein
mikado.34G32	IgGFc-binding protein-like;VWFD domain-containing protein (Fragment)
mikado.34G356	DEP domain containing MTOR interacting protein;PDZ domain-containing protein;Transcript variant X2
mikado.34G661	C2H2-type domain-containing protein
mikado.34G675	HAP1 N-terminal domain-containing protein;Trafficking kinesin protein 1
mikado.34G679	Methyltransferase domain-containing protein;Methyltransferase-like protein 24
